Order_Date,Order_ID
2023-01-01,ORD_00102406
2023-01-01,ORD_00102902
2023-01-01,ORD_00103864
2023-01-01,ORD_00103560
2023-01-02,ORD_00100632
2023-01-02,ORD_00103733
2023-01-02,ORD_00103814
2023-01-02,ORD_00104082
2023-01-02,ORD_00102022
2023-01-02,ORD_00104782
2023-01-02,ORD_00100626
2023-01-03,ORD_00103622
2023-01-03,ORD_00101482
2023-01-03,ORD_00103766
2023-01-04,ORD_00103883
2023-01-04,ORD_00103674
2023-01-04,ORD_00104963
2023-01-04,ORD_00104506
2023-01-05,ORD_00104918
2023-01-05,ORD_00102567
2023-01-05,ORD_00104812
2023-01-05,ORD_00104720
2023-01-05,ORD_00103988
2023-01-05,ORD_00104397
2023-01-05,ORD_00100866
2023-01-06,ORD_00104696
2023-01-06,ORD_00103525
2023-01-06,ORD_00102230
2023-01-06,ORD_00102305
2023-01-06,ORD_00100470
2023-01-06,ORD_00102421
2023-01-06,ORD_00103304
2023-01-06,ORD_00101379
2023-01-06,ORD_00103082
2023-01-06,ORD_00104340
2023-01-06,ORD_00104775
2023-01-07,ORD_00103870
2023-01-07,ORD_00102557
2023-01-07,ORD_00100397
2023-01-07,ORD_00100967
2023-01-07,ORD_00100104
2023-01-07,ORD_00103600
2023-01-07,ORD_00104485
2023-01-07,ORD_00100479
2023-01-07,ORD_00104400
2023-01-07,ORD_00102183
2023-01-08,ORD_00104545
2023-01-08,ORD_00101787
2023-01-08,ORD_00101940
2023-01-08,ORD_00104099
2023-01-08,ORD_00100917
2023-01-08,ORD_00103425
2023-01-08,ORD_00102730
2023-01-08,ORD_00100847
2023-01-09,ORD_00100925
2023-01-09,ORD_00101907
2023-01-09,ORD_00103596
2023-01-09,ORD_00104451
2023-01-09,ORD_00104972
2023-01-09,ORD_00103994
2023-01-09,ORD_00101551
2023-01-10,ORD_00100056
2023-01-10,ORD_00104497
2023-01-10,ORD_00101766
2023-01-10,ORD_00103553
2023-01-10,ORD_00101713
2023-01-10,ORD_00101976
2023-01-10,ORD_00104151
2023-01-10,ORD_00101593
2023-01-10,ORD_00103782
2023-01-10,ORD_00100390
2023-01-10,ORD_00100066
2023-01-11,ORD_00103817
2023-01-11,ORD_00100129
2023-01-11,ORD_00101989
2023-01-11,ORD_00101773
2023-01-11,ORD_00102279
2023-01-12,ORD_00102069
2023-01-12,ORD_00102744
2023-01-12,ORD_00101055
2023-01-12,ORD_00104982
2023-01-12,ORD_00102891
2023-01-12,ORD_00103583
2023-01-12,ORD_00100797
2023-01-12,ORD_00102805
2023-01-12,ORD_00103486
2023-01-13,ORD_00104881
2023-01-13,ORD_00101842
2023-01-13,ORD_00100883
2023-01-13,ORD_00102677
2023-01-13,ORD_00102135
2023-01-13,ORD_00104029
2023-01-13,ORD_00104023
2023-01-13,ORD_00100449
2023-01-14,ORD_00102026
2023-01-14,ORD_00103707
2023-01-14,ORD_00102692
2023-01-14,ORD_00104780
2023-01-14,ORD_00101843
2023-01-14,ORD_00100954
2023-01-14,ORD_00101796
2023-01-15,ORD_00103188
2023-01-15,ORD_00100394
2023-01-15,ORD_00104199
2023-01-15,ORD_00102960
2023-01-15,ORD_00101127
2023-01-15,ORD_00101924
2023-01-15,ORD_00101203
2023-01-15,ORD_00102608
2023-01-15,ORD_00103898
2023-01-15,ORD_00101929
2023-01-16,ORD_00101898
2023-01-16,ORD_00103502
2023-01-16,ORD_00104156
2023-01-16,ORD_00103197
2023-01-16,ORD_00102164
2023-01-16,ORD_00104675
2023-01-16,ORD_00101077
2023-01-16,ORD_00103482
2023-01-17,ORD_00100460
2023-01-17,ORD_00104937
2023-01-17,ORD_00100538
2023-01-17,ORD_00100440
2023-01-17,ORD_00103029
2023-01-17,ORD_00104751
2023-01-17,ORD_00100838
2023-01-17,ORD_00103205
2023-01-17,ORD_00101422
2023-01-18,ORD_00104389
2023-01-18,ORD_00101695
2023-01-18,ORD_00103331
2023-01-18,ORD_00100131
2023-01-18,ORD_00104957
2023-01-19,ORD_00101306
2023-01-19,ORD_00103717
2023-01-19,ORD_00103893
2023-01-19,ORD_00103123
2023-01-19,ORD_00104439
2023-01-19,ORD_00102950
2023-01-19,ORD_00101983
2023-01-19,ORD_00103521
2023-01-20,ORD_00101431
2023-01-20,ORD_00101503
2023-01-20,ORD_00103904
2023-01-20,ORD_00100708
2023-01-21,ORD_00102646
2023-01-21,ORD_00102217
2023-01-21,ORD_00104147
2023-01-21,ORD_00101426
2023-01-21,ORD_00100635
2023-01-22,ORD_00102797
2023-01-22,ORD_00100216
2023-01-22,ORD_00100158
2023-01-22,ORD_00102105
2023-01-22,ORD_00100034
2023-01-22,ORD_00101350
2023-01-22,ORD_00104003
2023-01-23,ORD_00102295
2023-01-23,ORD_00103507
2023-01-23,ORD_00101821
2023-01-23,ORD_00104321
2023-01-23,ORD_00104217
2023-01-23,ORD_00100194
2023-01-23,ORD_00104866
2023-01-23,ORD_00101229
2023-01-23,ORD_00104313
2023-01-23,ORD_00100409
2023-01-23,ORD_00102908
2023-01-24,ORD_00102364
2023-01-24,ORD_00104133
2023-01-24,ORD_00101595
2023-01-24,ORD_00104065
2023-01-24,ORD_00104070
2023-01-24,ORD_00103194
2023-01-24,ORD_00101074
2023-01-24,ORD_00102844
2023-01-24,ORD_00100500
2023-01-25,ORD_00102214
2023-01-25,ORD_00101053
2023-01-25,ORD_00102775
2023-01-25,ORD_00102796
2023-01-25,ORD_00101891
2023-01-25,ORD_00102652
2023-01-26,ORD_00103354
2023-01-26,ORD_00103677
2023-01-26,ORD_00100496
2023-01-26,ORD_00100000
2023-01-26,ORD_00104979
2023-01-27,ORD_00101394
2023-01-27,ORD_00100157
2023-01-27,ORD_00103393
2023-01-27,ORD_00103067
2023-01-27,ORD_00103324
2023-01-27,ORD_00100240
2023-01-27,ORD_00103072
2023-01-27,ORD_00102150
2023-01-28,ORD_00104602
2023-01-28,ORD_00103108
2023-01-28,ORD_00104335
2023-01-28,ORD_00104241
2023-01-28,ORD_00103683
2023-01-28,ORD_00100485
2023-01-28,ORD_00104684
2023-01-28,ORD_00102310
2023-01-28,ORD_00102051
2023-01-29,ORD_00101884
2023-01-29,ORD_00102813
2023-01-29,ORD_00104599
2023-01-29,ORD_00102182
